example_id,vuln_id,granularity,crate_name,is_vulnerable_gt,is_vulnerable_pred,is_valid_json,binary_accuracy,cwe_tp,cwe_fp,cwe_fn,function_tp,function_fp,function_fn,line_tp,line_fp,line_fn,success_at_1_function,success_at_1_line,model
vuln-0001/sample-00001-function,vuln-0001,function,chttp,True,True,True,1.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0001/sample-00001-file,vuln-0001,file,chttp,True,True,True,1.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0001/sample-00001-crate,vuln-0001,crate,chttp,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0001/sample-10001-function,vuln-0001,function,chttp,False,True,True,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0001/sample-10001-file,vuln-0001,file,chttp,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0001/sample-10001-crate,vuln-0001,crate,chttp,False,True,True,0.0,0.0,9.0,0.0,0.0,14.0,0.0,0.0,55.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0002/sample-00002-crate,vuln-0002,crate,arc-swap,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0002/sample-00002-file,vuln-0002,file,arc-swap,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0002/sample-00002-function,vuln-0002,function,arc-swap,True,True,True,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0002/sample-10002-crate,vuln-0002,crate,arc-swap,False,True,True,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0002/sample-10002-file,vuln-0002,file,arc-swap,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0002/sample-10002-function,vuln-0002,function,arc-swap,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0003/sample-00003-crate,vuln-0003,crate,safe-transmute,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0003/sample-00003-file,vuln-0003,file,safe-transmute,True,True,True,1.0,0.0,3.0,1.0,0.0,4.0,2.0,0.0,6.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
