example_id,token_count
vuln-0001/sample-00001-function,2133
vuln-0001/sample-00001-file,3164
vuln-0001/sample-00001-crate,8956
vuln-0001/sample-10001-function,2145
vuln-0001/sample-10001-file,3176
vuln-0001/sample-10001-crate,8968
vuln-0002/sample-00002-crate,32862
vuln-0002/sample-00002-file,22240
vuln-0002/sample-00002-function,1900
vuln-0002/sample-10002-crate,32653
vuln-0002/sample-10002-file,22030
vuln-0002/sample-10002-function,1933
vuln-0003/sample-00003-crate,10716
vuln-0003/sample-00003-file,9432
vuln-0003/sample-00003-function,1568
vuln-0003/sample-10003-crate,10717
vuln-0003/sample-10003-file,9433
vuln-0003/sample-10003-function,1568
vuln-0004/sample-00004-crate,14813
vuln-0004/sample-00004-file,7732
vuln-0004/sample-00004-function,1976
vuln-0005/sample-00005-function,1638
vuln-0005/sample-00005-file,13810
vuln-0005/sample-00005-crate,174760
vuln-0005/sample-10005-function,1638
vuln-0005/sample-10005-file,13810
vuln-0005/sample-10005-crate,174758
vuln-0006/sample-00006-crate,18061
vuln-0006/sample-00006-file,13878
vuln-0006/sample-00006-function,4598
vuln-0006/sample-10006-crate,18158
vuln-0006/sample-10006-file,13906
vuln-0006/sample-10006-function,4626
vuln-0007/sample-00007-crate,14813
vuln-0007/sample-00007-file,7732
vuln-0007/sample-00007-function,2650
vuln-0008/sample-00008-crate,10296
vuln-0008/sample-00008-function,4850
vuln-0008/sample-10008-function,1728
vuln-0008/sample-10008-crate,10313
vuln-0009/sample-00009-crate,6262
vuln-0009/sample-00009-file,3904
vuln-0009/sample-00009-function,1698
vuln-0010/sample-00010-crate,103044
vuln-0010/sample-00010-file,37836
vuln-0010/sample-00010-function,2014
vuln-0010/sample-10010-crate,103046
vuln-0010/sample-10010-file,37838
vuln-0010/sample-10010-function,2017
vuln-0011/sample-00011-crate,2649
vuln-0011/sample-00011-function,2072
vuln-0011/sample-10011-crate,2893
vuln-0011/sample-10011-function,1960
vuln-0012/sample-00012-crate,9206
vuln-0012/sample-00012-file,5748
vuln-0012/sample-00012-function,1630
vuln-0012/sample-10012-crate,9160
vuln-0012/sample-10012-file,5701
vuln-0012/sample-10012-function,1588
vuln-0013/sample-00013-crate,126592
vuln-0013/sample-00013-file,31798
vuln-0013/sample-00013-function,20266
vuln-0013/sample-10013-crate,126620
vuln-0013/sample-10013-file,31812
vuln-0013/sample-10013-function,20054
vuln-0014/sample-00014-crate,4954
vuln-0014/sample-00014-file,2137
vuln-0014/sample-00014-function,1790
vuln-0014/sample-10014-crate,4948
vuln-0014/sample-10014-file,2130
vuln-0014/sample-10014-function,1784
vuln-0015/sample-00015-crate,3641
vuln-0015/sample-00015-function,1541
vuln-0016/sample-00016-crate,3641
vuln-0016/sample-00016-function,1626
vuln-0017/sample-00017-crate,3641
vuln-0017/sample-00017-function,1645
vuln-0018/sample-00018-crate,33366
vuln-0018/sample-00018-file,27206
vuln-0018/sample-00018-function,2040
vuln-0018/sample-10018-crate,35741
vuln-0018/sample-10018-file,29914
vuln-0018/sample-10018-function,2069
vuln-0019/sample-00019-crate,33366
vuln-0019/sample-00019-file,27206
vuln-0019/sample-00019-function,2048
vuln-0019/sample-10019-crate,35741
vuln-0019/sample-10019-file,29914
vuln-0019/sample-10019-function,2078
vuln-0020/sample-00020-crate,33366
vuln-0020/sample-00020-file,27206
vuln-0020/sample-00020-function,5609
vuln-0020/sample-10020-crate,35741
vuln-0020/sample-10020-file,29914
vuln-0020/sample-10020-function,5666
vuln-0021/sample-00021-crate,33366
vuln-0021/sample-00021-file,15696
vuln-0021/sample-00021-function,3636
vuln-0021/sample-10021-crate,35741
vuln-0021/sample-10021-file,15945
vuln-0021/sample-10021-function,3676
vuln-0022/sample-00022-crate,33366
vuln-0022/sample-00022-file,15696
vuln-0022/sample-00022-function,4221
vuln-0022/sample-10022-crate,35741
vuln-0022/sample-10022-file,15945
vuln-0022/sample-10022-function,4352
vuln-0023/sample-00023-crate,33366
vuln-0023/sample-00023-file,6384
vuln-0023/sample-00023-function,3425
vuln-0023/sample-10023-crate,35741
vuln-0023/sample-10023-file,7214
vuln-0023/sample-10023-function,4170
vuln-0024/sample-00024-crate,2633
vuln-0024/sample-00024-function,1585
vuln-0024/sample-10024-crate,2661
vuln-0024/sample-10024-function,1596
vuln-0025/sample-00025-crate,2633
vuln-0025/sample-00025-function,1692
vuln-0025/sample-10025-crate,2661
vuln-0025/sample-10025-function,1694
vuln-0026/sample-00026-crate,47633
vuln-0026/sample-00026-file,7836
vuln-0026/sample-10026-crate,47970
vuln-0026/sample-10026-file,8172
vuln-0027/sample-00027-crate,29489
vuln-0027/sample-00027-file,18556
vuln-0027/sample-10027-crate,29684
vuln-0027/sample-10027-file,18750
vuln-0028/sample-00028-crate,9888
vuln-0028/sample-00028-function,7505
vuln-0028/sample-10028-crate,9914
vuln-0028/sample-10028-function,7496
vuln-0029/sample-00029-crate,16168
vuln-0029/sample-00029-function,9876
vuln-0029/sample-10029-crate,17097
vuln-0029/sample-10029-function,10802
vuln-0030/sample-00030-crate,80500
vuln-0030/sample-10030-crate,84053
vuln-0031/sample-00031-crate,80500
vuln-0031/sample-10031-crate,84053
vuln-0032/sample-00032-crate,80500
vuln-0032/sample-10032-crate,84053
