timestamp,llm_provider,llm_model,code_sample,existence_correct,cwe_tp,cwe_fp,cwe_fn,func_tp,func_fp,func_fn,line_tp,line_fp,line_fn
2025-05-27T20:46:34.839829+00:00,openai,gpt-4o,vuln-0001/vuln-function,True,0,2,1,1,1,0,1,1,0
2025-05-27T20:46:37.736408+00:00,openai,gpt-4o,vuln-0001/vuln-file,True,0,2,1,1,3,0,1,6,0
2025-05-27T20:47:23.988677+00:00,openai,gpt-4o,vuln-0001/fixed-function,False,0,2,0,0,3,0,0,5,0
2025-05-27T20:47:25.727618+00:00,openai,gpt-4o,vuln-0001/fixed-file,False,0,1,0,0,2,0,0,2,0
2025-05-27T20:47:42.664305+00:00,openai,gpt-4o,vuln-0001/fixed-crate,False,0,1,0,0,1,0,0,1,0
2025-05-27T20:47:47.404669+00:00,openai,gpt-4o,vuln-0002/vuln-function,True,1,0,0,1,0,2,1,0,1
2025-05-27T20:49:44.787414+00:00,openai,gpt-4o,vuln-0002/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-27T20:49:52.160145+00:00,openai,gpt-4o,vuln-0003/vuln-crate,True,1,1,0,0,14,2,0,14,2
2025-05-27T20:50:08.767124+00:00,openai,gpt-4o,vuln-0003/vuln-file,True,1,1,0,2,9,0,0,11,2
2025-05-27T20:50:14.483989+00:00,openai,gpt-4o,vuln-0003/vuln-function,True,0,1,1,1,0,0,1,0,0
2025-05-27T20:52:59.496828+00:00,openai,gpt-4o,vuln-0004/vuln-file,True,0,2,1,1,14,1,1,16,1
2025-05-27T20:53:04.288113+00:00,openai,gpt-4o,vuln-0004/vuln-function,True,0,2,1,1,2,1,1,2,1
2025-05-27T20:53:07.359577+00:00,openai,gpt-4o,vuln-0005/vuln-function,True,0,1,1,1,0,0,1,0,0
2025-05-27T20:53:55.514464+00:00,openai,gpt-4o,vuln-0005/vuln-file,True,0,1,1,0,2,1,0,2,1
2025-05-27T20:54:01.356539+00:00,openai,gpt-4o,vuln-0005/fixed-function,False,0,1,0,0,1,0,0,1,0
2025-05-27T20:56:57.933581+00:00,openai,gpt-4o,vuln-0006/vuln-file,True,1,1,0,1,1,0,0,2,2
2025-05-27T20:57:12.694747+00:00,openai,gpt-4o,vuln-0006/vuln-function,True,1,1,0,1,2,0,0,3,2
2025-05-27T20:58:53.270819+00:00,openai,gpt-4o,vuln-0006/fixed-file,False,0,1,0,0,1,0,0,6,0
2025-05-27T20:59:11.379674+00:00,openai,gpt-4o,vuln-0006/fixed-function,False,0,2,0,0,3,0,0,3,0
2025-05-27T21:00:00.254764+00:00,openai,gpt-4o,vuln-0007/vuln-crate,True,0,2,1,2,29,15,1,34,17
2025-05-27T21:00:26.253931+00:00,openai,gpt-4o,vuln-0007/vuln-file,True,0,2,1,3,12,14,3,14,15
2025-05-27T21:00:34.014070+00:00,openai,gpt-4o,vuln-0007/vuln-function,True,0,2,1,1,1,16,1,1,17
2025-05-27T21:00:52.516554+00:00,openai,gpt-4o,vuln-0009/vuln-crate,True,0,2,1,1,1,1,0,2,2
2025-05-27T21:01:06.883223+00:00,openai,gpt-4o,vuln-0009/vuln-file,True,0,3,1,1,2,1,0,3,2
2025-05-27T21:01:11.572046+00:00,openai,gpt-4o,vuln-0009/vuln-function,True,1,0,0,1,0,1,0,2,2
2025-05-27T21:01:16.252570+00:00,openai,gpt-4o,vuln-0010/vuln-function,False,0,0,1,0,0,2,0,0,2
2025-05-27T21:01:20.686230+00:00,openai,gpt-4o,vuln-0010/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-27T21:01:45.591546+00:00,openai,gpt-4o,vuln-0012/vuln-crate,False,0,0,2,0,0,2,0,0,2
