example_id,vuln_id,granularity,crate_name,year,is_vulnerable_gt,cwe_types_gt,is_valid_json,is_vulnerable_pred,cwe_types_pred,binary_accuracy,cwe_tp,cwe_fp,cwe_fn,function_tp,function_fp,function_fn,line_tp,line_fp,line_fn,success_at_1_function,success_at_1_line,model
vuln-0001/sample-00001-function,vuln-0001,function,chttp,2019.0,True,"[""CWE-416""]",True,True,"[""CWE-415"", ""CWE-416"", ""CWE-119""]",1.0,1,2,0,1,0,0,1,0,0,1.0,1.0,GPT-4.1
vuln-0001/sample-00001-file,vuln-0001,file,chttp,2019.0,True,"[""CWE-416""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0001/sample-00001-crate,vuln-0001,crate,chttp,2019.0,True,"[""CWE-416""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0001/sample-10001-function,vuln-0001,function,chttp,2019.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0001/sample-10001-file,vuln-0001,file,chttp,2019.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0001/sample-10001-crate,vuln-0001,crate,chttp,2019.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0002/sample-00002-crate,vuln-0002,crate,arc-swap,2020.0,True,"[""CWE-416""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0002/sample-00002-file,vuln-0002,file,arc-swap,2020.0,True,"[""CWE-416""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0002/sample-00002-function,vuln-0002,function,arc-swap,2020.0,True,"[""CWE-416""]",True,True,"[""CWE-416"", ""CWE-119""]",1.0,1,1,0,1,0,2,1,0,1,1.0,1.0,GPT-4.1
vuln-0002/sample-10002-crate,vuln-0002,crate,arc-swap,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0002/sample-10002-file,vuln-0002,file,arc-swap,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0002/sample-10002-function,vuln-0002,function,arc-swap,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0003/sample-00003-crate,vuln-0003,crate,safe-transmute,2018.0,True,"[""CWE-119""]",True,True,"[""CWE-119"", ""CWE-787""]",1.0,1,1,0,2,0,0,2,0,0,1.0,1.0,GPT-4.1
vuln-0003/sample-00003-file,vuln-0003,file,safe-transmute,2018.0,True,"[""CWE-119""]",True,False,[],0.0,0,0,1,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0003/sample-00003-function,vuln-0003,function,safe-transmute,2018.0,True,"[""CWE-119""]",True,True,"[""CWE-119"", ""CWE-787""]",1.0,1,1,0,1,0,0,1,0,0,1.0,1.0,GPT-4.1
vuln-0003/sample-10003-crate,vuln-0003,crate,safe-transmute,2018.0,False,[],True,True,"[""CWE-119"", ""CWE-188""]",0.0,0,2,0,0,11,0,0,11,0,0.0,0.0,GPT-4.1
vuln-0003/sample-10003-file,vuln-0003,file,safe-transmute,2018.0,False,[],True,True,"[""CWE-119"", ""CWE-824""]",0.0,0,2,0,0,11,0,0,11,0,0.0,0.0,GPT-4.1
vuln-0003/sample-10003-function,vuln-0003,function,safe-transmute,2018.0,False,[],True,True,"[""CWE-119"", ""CWE-415"", ""CWE-416""]",0.0,0,3,0,0,1,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0004/sample-00004-crate,vuln-0004,crate,ordnung,2020.0,True,"[""CWE-415""]",True,True,"[""CWE-415""]",1.0,1,0,0,1,0,1,0,5,2,1.0,0.0,GPT-4.1
vuln-0004/sample-00004-file,vuln-0004,file,ordnung,2020.0,True,"[""CWE-415""]",True,False,[],0.0,0,0,1,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0004/sample-00004-function,vuln-0004,function,ordnung,2020.0,True,"[""CWE-415""]",True,True,"[""CWE-119"", ""CWE-787"", ""CWE-188""]",1.0,0,3,1,1,1,1,0,2,2,1.0,0.0,GPT-4.1
vuln-0005/sample-00005-function,vuln-0005,function,image,2020.0,True,"[""CWE-400""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0005/sample-00005-file,vuln-0005,file,image,2020.0,True,"[""CWE-400""]",True,True,"[""CWE-119"", ""CWE-824""]",1.0,0,2,1,1,1,0,0,2,1,1.0,0.0,GPT-4.1
vuln-0005/sample-00005-crate,vuln-0005,crate,image,2020.0,True,"[""CWE-400""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0005/sample-10005-function,vuln-0005,function,image,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0005/sample-10005-file,vuln-0005,file,image,2020.0,False,[],True,True,"[""CWE-119""]",0.0,0,1,0,0,2,0,0,2,0,0.0,0.0,GPT-4.1
vuln-0005/sample-10005-crate,vuln-0005,crate,image,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0006/sample-00006-crate,vuln-0006,crate,smallvec,2021.0,True,"[""CWE-787""]",True,False,[],0.0,0,0,1,0,0,1,0,0,2,0.0,0.0,GPT-4.1
vuln-0006/sample-00006-file,vuln-0006,file,smallvec,2021.0,True,"[""CWE-787""]",True,False,[],0.0,0,0,1,0,0,1,0,0,2,0.0,0.0,GPT-4.1
vuln-0006/sample-00006-function,vuln-0006,function,smallvec,2021.0,True,"[""CWE-787""]",True,False,[],0.0,0,0,1,0,0,1,0,0,2,0.0,0.0,GPT-4.1
vuln-0006/sample-10006-crate,vuln-0006,crate,smallvec,2021.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0006/sample-10006-file,vuln-0006,file,smallvec,2021.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0006/sample-10006-function,vuln-0006,function,smallvec,2021.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0007/sample-00007-crate,vuln-0007,crate,ordnung,2020.0,True,"[""CWE-125""]",True,True,"[""CWE-119"", ""CWE-787"", ""CWE-416""]",1.0,0,3,1,5,14,12,8,29,10,1.0,1.0,GPT-4.1
vuln-0007/sample-00007-file,vuln-0007,file,ordnung,2020.0,True,"[""CWE-125""]",True,False,[],0.0,0,0,1,0,0,17,0,0,18,0.0,0.0,GPT-4.1
vuln-0007/sample-00007-function,vuln-0007,function,ordnung,2020.0,True,"[""CWE-125""]",True,False,[],0.0,0,0,1,0,0,17,0,0,18,0.0,0.0,GPT-4.1
vuln-0008/sample-00008-crate,vuln-0008,crate,,,True,"[""CWE-362""]",True,False,[],0.0,0,0,1,0,0,13,0,0,13,0.0,0.0,GPT-4.1
vuln-0008/sample-00008-function,vuln-0008,function,,,True,"[""CWE-362""]",True,True,"[""CWE-908"", ""CWE-824""]",1.0,0,2,1,0,5,13,0,5,13,0.0,0.0,GPT-4.1
vuln-0008/sample-10008-function,vuln-0008,function,,,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0008/sample-10008-crate,vuln-0008,crate,,,False,[],True,True,"[""CWE-908"", ""CWE-119""]",0.0,0,2,0,0,5,0,0,8,0,0.0,0.0,GPT-4.1
vuln-0009/sample-00009-crate,vuln-0009,crate,alg_ds,2020.0,True,"[""CWE-908""]",True,True,"[""CWE-824"", ""CWE-690"", ""CWE-190"", ""CWE-131"", ""CWE-908""]",1.0,1,4,0,1,0,1,0,2,2,1.0,0.0,GPT-4.1
vuln-0009/sample-00009-file,vuln-0009,file,alg_ds,2020.0,True,"[""CWE-908""]",True,True,"[""CWE-119"", ""CWE-824"", ""CWE-908"", ""CWE-416"", ""CWE-415"", ""CWE-763""]",1.0,1,5,0,1,2,1,1,10,1,1.0,1.0,GPT-4.1
