example_id,token_count
vuln-0001/sample-00001-function,1968
vuln-0001/sample-00001-file,2713
vuln-0001/sample-00001-crate,6276
vuln-0001/sample-10001-function,1893
vuln-0001/sample-10001-file,2638
vuln-0001/sample-10001-crate,6178
vuln-0002/sample-00002-crate,11136
vuln-0002/sample-00002-file,9800
vuln-0002/sample-00002-function,2054
vuln-0002/sample-10002-crate,10838
vuln-0002/sample-10002-file,9553
vuln-0002/sample-10002-function,1898
vuln-0003/sample-00003-crate,4410
vuln-0003/sample-00003-file,3893
vuln-0003/sample-00003-function,1660
vuln-0003/sample-10003-crate,4182
vuln-0003/sample-10003-file,3714
vuln-0003/sample-10003-function,1566
vuln-0004/sample-00004-crate,8300
vuln-0004/sample-00004-file,5438
vuln-0004/sample-00004-function,2060
vuln-0005/sample-00005-function,1758
vuln-0005/sample-00005-file,11141
vuln-0005/sample-00005-crate,133649
vuln-0005/sample-10005-function,1700
vuln-0005/sample-10005-file,11758
vuln-0005/sample-10005-crate,134306
vuln-0006/sample-00006-crate,12177
vuln-0006/sample-00006-file,8345
vuln-0006/sample-00006-function,3577
vuln-0006/sample-10006-crate,12317
vuln-0006/sample-10006-file,8536
vuln-0006/sample-10006-function,3422
vuln-0007/sample-00007-crate,9933
vuln-0007/sample-00007-file,7141
vuln-0007/sample-00007-function,4444
vuln-0008/sample-00008-crate,10405
vuln-0008/sample-00008-function,4870
vuln-0008/sample-10008-function,1734
vuln-0008/sample-10008-crate,9022
vuln-0009/sample-00009-crate,6406
vuln-0009/sample-00009-file,3966
vuln-0009/sample-00009-function,1864
vuln-0010/sample-00010-crate,70993
vuln-0010/sample-00010-file,23960
vuln-0010/sample-00010-function,2161
vuln-0010/sample-10010-crate,70785
vuln-0010/sample-10010-file,23712
vuln-0010/sample-10010-function,1954
vuln-0011/sample-00011-crate,2230
vuln-0011/sample-00011-function,1973
vuln-0011/sample-10011-crate,2356
vuln-0011/sample-10011-function,1762
vuln-0012/sample-00012-crate,5522
vuln-0012/sample-00012-file,3261
vuln-0012/sample-00012-function,1782
vuln-0012/sample-10012-crate,5288
vuln-0012/sample-10012-file,3005
vuln-0012/sample-10012-function,1552
vuln-0013/sample-00013-crate,61658
vuln-0013/sample-00013-file,10608
vuln-0013/sample-00013-function,6406
vuln-0013/sample-10013-crate,61614
vuln-0013/sample-10013-file,10498
vuln-0013/sample-10013-function,6289
vuln-0014/sample-00014-crate,5054
vuln-0014/sample-00014-file,2438
vuln-0014/sample-00014-function,2014
vuln-0014/sample-10014-crate,4752
vuln-0014/sample-10014-file,2093
vuln-0014/sample-10014-function,1704
vuln-0015/sample-00015-crate,3148
vuln-0015/sample-00015-function,1716
vuln-0016/sample-00016-crate,3118
vuln-0016/sample-00016-function,1860
vuln-0017/sample-00017-crate,3142
vuln-0017/sample-00017-function,1864
vuln-0018/sample-00018-crate,23965
vuln-0018/sample-00018-file,19110
vuln-0018/sample-00018-function,2060
vuln-0018/sample-10018-crate,26248
vuln-0018/sample-10018-file,21773
vuln-0018/sample-10018-function,1864
vuln-0019/sample-00019-crate,24134
vuln-0019/sample-00019-file,19393
vuln-0019/sample-00019-function,2190
vuln-0019/sample-10019-crate,26248
vuln-0019/sample-10019-file,21773
vuln-0019/sample-10019-function,1873
vuln-0020/sample-00020-crate,25088
vuln-0020/sample-00020-file,20300
vuln-0020/sample-00020-function,4490
vuln-0020/sample-10020-crate,26248
vuln-0020/sample-10020-file,21773
vuln-0020/sample-10020-function,4300
vuln-0021/sample-00021-crate,24985
vuln-0021/sample-00021-file,11793
vuln-0021/sample-00021-function,3068
vuln-0021/sample-10021-crate,26248
vuln-0021/sample-10021-file,11830
vuln-0021/sample-10021-function,2964
vuln-0022/sample-00022-crate,25005
vuln-0022/sample-00022-file,11784
vuln-0022/sample-00022-function,3481
vuln-0022/sample-10022-crate,26248
vuln-0022/sample-10022-file,11830
vuln-0022/sample-10022-function,3393
vuln-0023/sample-00023-crate,25756
vuln-0023/sample-00023-file,4685
vuln-0023/sample-00023-function,3341
vuln-0023/sample-10023-crate,26248
vuln-0023/sample-10023-file,4225
vuln-0023/sample-10023-function,2710
vuln-0024/sample-00024-crate,2452
vuln-0024/sample-00024-function,1688
vuln-0024/sample-10024-crate,2364
vuln-0024/sample-10024-function,1582
vuln-0025/sample-00025-crate,2562
vuln-0025/sample-00025-function,1816
vuln-0025/sample-10025-crate,2364
vuln-0025/sample-10025-function,1642
vuln-0026/sample-00026-crate,24564
vuln-0026/sample-00026-file,5630
vuln-0026/sample-10026-crate,24561
vuln-0026/sample-10026-file,5660
vuln-0027/sample-00027-crate,15625
vuln-0027/sample-00027-file,9912
vuln-0027/sample-10027-crate,15814
vuln-0027/sample-10027-file,10165
vuln-0028/sample-00028-crate,5014
vuln-0028/sample-00028-function,3462
vuln-0028/sample-10028-crate,4974
vuln-0028/sample-10028-function,3414
vuln-0029/sample-00029-crate,8285
vuln-0029/sample-00029-function,6245
vuln-0029/sample-10029-crate,7676
vuln-0029/sample-10029-function,5494
vuln-0030/sample-00030-crate,55174
vuln-0030/sample-10030-crate,56685
vuln-0031/sample-00031-crate,55078
vuln-0031/sample-10031-crate,56685
vuln-0032/sample-00032-crate,55264
vuln-0032/sample-10032-crate,56685
vuln-0033/sample-00033-crate,55052
vuln-0033/sample-10033-crate,56685
vuln-0034/sample-00034-crate,55130
vuln-0034/sample-10034-crate,56685
vuln-0035/sample-00035-crate,55396
vuln-0035/sample-10035-crate,56685
vuln-0036/sample-00036-crate,55248
vuln-0036/sample-10036-crate,54953
vuln-0037/sample-00037-crate,55156
vuln-0037/sample-10037-crate,56685
vuln-0038/sample-00038-crate,5281
vuln-0038/sample-00038-function,1849
vuln-0039/sample-00039-crate,10284
vuln-0039/sample-00039-function,2560
vuln-0039/sample-10039-crate,11204
vuln-0039/sample-10039-function,2454
