Sample ID,Vuln ID,Granularity,Claude 3.7 Sonnet,GPT-4.1,Gemini 1.5 Pro,DeepSeek-V3.1
vuln-0001/sample-00001-file,vuln-0001,file,0/1,0/1,0/1,0/1
vuln-0001/sample-00001-function,vuln-0001,function,1/1,1/1,0/1,1/1
vuln-0002/sample-00002-function,vuln-0002,function,1/3,0/3,1/3,0/3
vuln-0003/sample-00003-crate,vuln-0003,crate,1/2,1/2,0/2,0/2
vuln-0003/sample-00003-file,vuln-0003,file,1/2,2/2,0/2,0/2
vuln-0003/sample-00003-function,vuln-0003,function,1/1,1/1,1/1,1/1
vuln-0004/sample-00004-file,vuln-0004,file,1/2,0/2,0/2,0/2
vuln-0004/sample-00004-function,vuln-0004,function,0/2,0/2,1/2,1/2
vuln-0005/sample-00005-file,vuln-0005,file,0/1,0/1,0/1,0/1
vuln-0005/sample-00005-function,vuln-0005,function,1/1,1/1,1/1,0/1
vuln-0006/sample-00006-crate,vuln-0006,crate,1/1,0/1,0/1,0/1
vuln-0006/sample-00006-file,vuln-0006,file,1/1,0/1,0/1,0/1
vuln-0006/sample-00006-function,vuln-0006,function,1/1,0/1,0/1,0/1
vuln-0007/sample-00007-crate,vuln-0007,crate,0/17,0/17,0/17,2/17
vuln-0007/sample-00007-file,vuln-0007,file,1/17,0/17,0/17,2/17
vuln-0007/sample-00007-function,vuln-0007,function,1/17,1/17,0/17,3/17
vuln-0008/sample-00008-crate,vuln-0008,crate,0/13,0/13,0/13,0/13
vuln-0008/sample-00008-function,vuln-0008,function,0/13,0/13,0/13,0/13
vuln-0009/sample-00009-crate,vuln-0009,crate,1/2,1/2,0/2,1/2
vuln-0009/sample-00009-file,vuln-0009,file,1/2,1/2,1/2,0/2
vuln-0009/sample-00009-function,vuln-0009,function,2/2,1/2,1/2,1/2
vuln-0011/sample-00011-crate,vuln-0011,crate,0/1,0/1,1/1,0/1
vuln-0011/sample-00011-function,vuln-0011,function,1/1,0/1,1/1,0/1
vuln-0012/sample-00012-crate,vuln-0012,crate,0/2,0/2,0/2,0/2
vuln-0012/sample-00012-file,vuln-0012,file,0/2,0/2,0/2,0/2
vuln-0012/sample-00012-function,vuln-0012,function,0/2,0/2,0/2,0/2
vuln-0013/sample-00013-function,vuln-0013,function,0/1,0/1,0/1,0/1
vuln-0014/sample-00014-crate,vuln-0014,crate,1/1,1/1,1/1,1/1
vuln-0014/sample-00014-file,vuln-0014,file,1/1,1/1,1/1,1/1
vuln-0014/sample-00014-function,vuln-0014,function,1/1,1/1,1/1,1/1
vuln-0015/sample-00015-crate,vuln-0015,crate,0/2,2/2,0/2,0/2
vuln-0015/sample-00015-function,vuln-0015,function,0/2,0/2,0/2,0/2
vuln-0016/sample-00016-crate,vuln-0016,crate,0/2,0/2,0/2,0/2
vuln-0016/sample-00016-function,vuln-0016,function,0/2,0/2,0/2,0/2
vuln-0017/sample-00017-crate,vuln-0017,crate,0/1,0/1,0/1,0/1
vuln-0017/sample-00017-function,vuln-0017,function,1/1,1/1,1/1,0/1
vuln-0018/sample-00018-function,vuln-0018,function,0/1,0/1,1/1,0/1
vuln-0019/sample-00019-function,vuln-0019,function,0/1,1/1,1/1,0/1
vuln-0020/sample-00020-function,vuln-0020,function,0/1,0/1,0/1,0/1
vuln-0021/sample-00021-file,vuln-0021,file,0/2,0/2,0/2,0/2
vuln-0021/sample-00021-function,vuln-0021,function,1/2,0/2,1/2,0/2
vuln-0022/sample-00022-file,vuln-0022,file,0/1,0/1,0/1,0/1
vuln-0022/sample-00022-function,vuln-0022,function,0/1,0/1,0/1,0/1
vuln-0023/sample-00023-file,vuln-0023,file,0/8,0/8,2/8,0/8
vuln-0023/sample-00023-function,vuln-0023,function,0/8,0/8,4/8,0/8
vuln-0024/sample-00024-crate,vuln-0024,crate,1/1,1/1,1/1,1/1
vuln-0024/sample-00024-function,vuln-0024,function,1/1,1/1,1/1,1/1
vuln-0025/sample-00025-crate,vuln-0025,crate,1/1,1/1,1/1,1/1
vuln-0025/sample-00025-function,vuln-0025,function,1/1,1/1,1/1,1/1
vuln-0026/sample-00026-file,vuln-0026,file,0/1,0/1,1/1,0/1
vuln-0027/sample-00027-file,vuln-0027,file,0/3,0/3,0/3,0/3
vuln-0028/sample-00028-crate,vuln-0028,crate,0/1,0/1,0/1,0/1
vuln-0028/sample-00028-function,vuln-0028,function,0/1,0/1,0/1,0/1
vuln-0029/sample-00029-crate,vuln-0029,crate,0/6,0/6,0/6,0/6
vuln-0029/sample-00029-function,vuln-0029,function,0/6,0/6,0/6,0/6
vuln-0038/sample-00038-crate,vuln-0038,crate,0/2,0/2,0/2,0/2
vuln-0038/sample-00038-function,vuln-0038,function,2/2,2/2,1/2,0/2
vuln-0039/sample-00039-crate,vuln-0039,crate,0/1,1/1,0/1,0/1
vuln-0039/sample-00039-function,vuln-0039,function,1/1,0/1,1/1,0/1
vuln-0040/sample-00040-crate,vuln-0040,crate,1/1,0/1,1/1,0/1
vuln-0040/sample-00040-function,vuln-0040,function,0/1,0/1,0/1,0/1
vuln-0041/sample-00041-crate,vuln-0041,crate,0/2,2/2,2/2,0/2
vuln-0041/sample-00041-function,vuln-0041,function,2/2,2/2,2/2,2/2
vuln-0042/sample-00042-crate,vuln-0042,crate,1/1,0/1,0/1,0/1
vuln-0042/sample-00042-file,vuln-0042,file,1/1,1/1,0/1,0/1
