example_id,token_count
vuln-0001/sample-00001-function,2258
vuln-0001/sample-00001-file,3657
vuln-0001/sample-00001-crate,10522
vuln-0001/sample-10001-function,2293
vuln-0001/sample-10001-file,3692
vuln-0001/sample-10001-crate,10557
vuln-0002/sample-00002-crate,36776
vuln-0002/sample-00002-file,25610
vuln-0002/sample-00002-function,1949
vuln-0002/sample-10002-crate,36650
vuln-0002/sample-10002-file,25485
vuln-0002/sample-10002-function,2020
vuln-0003/sample-00003-crate,11680
vuln-0003/sample-00003-file,10161
vuln-0003/sample-00003-function,1574
vuln-0003/sample-10003-crate,11733
vuln-0003/sample-10003-file,10214
vuln-0003/sample-10003-function,1594
vuln-0004/sample-00004-crate,17034
vuln-0004/sample-00004-file,9016
vuln-0004/sample-00004-function,2098
vuln-0005/sample-00005-function,1640
vuln-0005/sample-00005-file,16586
vuln-0005/sample-00005-crate,203077
vuln-0005/sample-10005-function,1640
vuln-0005/sample-10005-file,16586
vuln-0005/sample-10005-crate,203077
vuln-0006/sample-00006-crate,22618
vuln-0006/sample-00006-file,16317
vuln-0006/sample-00006-function,5220
vuln-0006/sample-10006-crate,22857
vuln-0006/sample-10006-file,16458
vuln-0006/sample-10006-function,5361
vuln-0007/sample-00007-crate,16810
vuln-0007/sample-00007-file,8792
vuln-0007/sample-00007-function,2736
vuln-0008/sample-00008-crate,13433
vuln-0008/sample-00008-function,5570
vuln-0008/sample-10008-function,1729
vuln-0008/sample-10008-crate,13470
vuln-0009/sample-00009-crate,7973
vuln-0009/sample-00009-file,4740
vuln-0009/sample-00009-function,1713
vuln-0010/sample-00010-crate,119834
vuln-0010/sample-00010-file,44177
vuln-0010/sample-00010-function,2086
vuln-0010/sample-10010-crate,119849
vuln-0010/sample-10010-file,44192
vuln-0010/sample-10010-function,2101
vuln-0011/sample-00011-crate,2817
vuln-0011/sample-00011-function,2137
vuln-0011/sample-10011-crate,3244
vuln-0011/sample-10011-function,2016
vuln-0012/sample-00012-crate,10433
vuln-0012/sample-00012-file,6276
vuln-0012/sample-00012-function,1650
vuln-0012/sample-10012-crate,10360
vuln-0012/sample-10012-file,6202
vuln-0012/sample-10012-function,1605
vuln-0013/sample-00013-crate,142549
vuln-0013/sample-00013-file,34377
vuln-0013/sample-00013-function,21766
vuln-0013/sample-10013-crate,142604
vuln-0013/sample-10013-file,34413
vuln-0013/sample-10013-function,21562
vuln-0014/sample-00014-crate,5878
vuln-0014/sample-00014-file,2305
vuln-0014/sample-00014-function,1836
vuln-0014/sample-10014-crate,5909
vuln-0014/sample-10014-file,2336
vuln-0014/sample-10014-function,1866
vuln-0015/sample-00015-crate,4276
vuln-0015/sample-00015-function,1544
vuln-0016/sample-00016-crate,4261
vuln-0016/sample-00016-function,1633
vuln-0017/sample-00017-crate,4242
vuln-0017/sample-00017-function,1653
vuln-0018/sample-00018-crate,41672
vuln-0018/sample-00018-file,33633
vuln-0018/sample-00018-function,2116
